vintage,grade,dr_12m,dr_24m,dr_36m,prepayment_rate,loan_count
2007Q2,E,0.0,0.0,0.0,0.0,1.0
2007Q3,A,0.0,0.0,0.0,0.4642857142857143,28.0
2007Q3,B,0.0,0.05,0.1,0.15,20.0
2007Q3,C,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.16666666666666666,18.0
2007Q3,D,0.0,0.0,0.25,0.25,8.0
2007Q3,E,0.0,0.0,0.5,0.0,2.0
2007Q3,F,0.0,0.4,0.4,0.4,5.0
2007Q4,A,0.0,0.034482758620689655,0.034482758620689655,0.4827586206896552,29.0
2007Q4,B,0.024390243902439025,0.12195121951219512,0.14634146341463414,0.36585365853658536,41.0
2007Q4,C,0.05263157894736842,0.12280701754385964,0.15789473684210525,0.3333333333333333,57.0
2007Q4,D,0.1724137931034483,0.3448275862068966,0.4482758620689655,0.3103448275862069,29.0
2007Q4,E,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.18181818181818182,11.0
2007Q4,F,0.0,0.0,0.0,0.0,2.0
2008Q1,A,0.0,0.02912621359223301,0.06796116504854369,0.39805825242718446,103.0
2008Q1,B,0.025510204081632654,0.09183673469387756,0.11224489795918367,0.3622448979591837,196.0
2008Q1,C,0.060810810810810814,0.16891891891891891,0.20945945945945946,0.25675675675675674,148.0
2008Q1,D,0.13829787234042554,0.2127659574468085,0.26595744680851063,0.20212765957446807,94.0
2008Q1,E,0.1,0.16666666666666666,0.2,0.3,30.0
2008Q1,F,0.0,0.375,0.5,0.0,8.0
2008Q1,G,0.0,0.0,0.0,0.5,2.0
2008Q2,A,0.0,0.0,0.03571428571428571,0.26785714285714285,56.0
2008Q2,B,0.043010752688172046,0.12903225806451613,0.15053763440860216,0.3010752688172043,93.0
2008Q2,C,0.07777777777777778,0.15555555555555556,0.16666666666666666,0.2777777777777778,90.0
2008Q2,D,0.125,0.25,0.275,0.275,40.0
2008Q2,E,0.0,0.0,0.0,0.375,8.0
2008Q2,F,0.0,0.4,0.4,0.2,5.0
2008Q3,A,0.0,0.05405405405405406,0.05405405405405406,0.5135135135135135,37.0
2008Q3,B,0.10204081632653061,0.20408163265306123,0.20408163265306123,0.42857142857142855,49.0
2008Q3,C,0.0625,0.15625,0.171875,0.265625,64.0
2008Q3,D,0.0,0.125,0.125,0.25,24.0
2008Q3,E,0.125,0.125,0.125,0.125,8.0
2008Q3,F,0.25,0.25,0.25,0.0,4.0
2008Q4,A,0.030303030303030304,0.04040404040404041,0.06060606060606061,0.5151515151515151,99.0
2008Q4,B,0.0650887573964497,0.14201183431952663,0.16568047337278108,0.3431952662721893,169.0
2008Q4,C,0.051470588235294115,0.11764705882352941,0.14705882352941177,0.38235294117647056,136.0
2008Q4,D,0.109375,0.234375,0.234375,0.234375,64.0
2008Q4,E,0.10344827586206896,0.13793103448275862,0.13793103448275862,0.3448275862068966,29.0
2008Q4,F,0.5,0.5,0.5,0.0,4.0
2008Q4,G,0.5,0.5,1.0,0.0,2.0
2009Q1,A,0.02577319587628866,0.06701030927835051,0.09278350515463918,0.4484536082474227,194.0
2009Q1,B,0.047244094488188976,0.11023622047244094,0.12598425196850394,0.4566929133858268,127.0
2009Q1,C,0.0635593220338983,0.1059322033898305,0.1228813559322034,0.4406779661016949,236.0
2009Q1,D,0.052980132450331126,0.09933774834437085,0.13245033112582782,0.31788079470198677,151.0
2009Q1,E,0.1016949152542373,0.13559322033898305,0.13559322033898305,0.23728813559322035,59.0
2009Q1,F,0.0,0.0,0.0,0.375,8.0
2009Q2,A,0.023622047244094488,0.05511811023622047,0.06299212598425197,0.38188976377952755,254.0
2009Q2,B,0.02527075812274368,0.06498194945848375,0.09747292418772563,0.4151624548736462,277.0
2009Q2,C,0.08,0.128,0.152,0.348,250.0
2009Q2,D,0.08130081300813008,0.18699186991869918,0.21138211382113822,0.3170731707317073,123.0
2009Q2,E,0.10869565217391304,0.17391304347826086,0.21739130434782608,0.2826086956521739,46.0
2009Q2,F,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.6363636363636364,11.0
2009Q2,G,0.25,0.25,0.25,0.25,4.0
2009Q3,A,0.012307692307692308,0.04,0.05846153846153846,0.4707692307692308,325.0
2009Q3,B,0.05459057071960298,0.10173697270471464,0.11662531017369727,0.3970223325062035,403.0
2009Q3,C,0.0456140350877193,0.08771929824561403,0.11578947368421053,0.43157894736842106,285.0
2009Q3,D,0.06349206349206349,0.10317460317460317,0.14285714285714285,0.40476190476190477,126.0
2009Q3,E,0.09230769230769231,0.2,0.2,0.4307692307692308,65.0
2009Q3,F,0.05,0.1,0.1,0.35,20.0
2009Q3,G,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.2857142857142857,7.0
2009Q4,A,0.03209876543209877,0.04691358024691358,0.06419753086419754,0.5037037037037037,405.0
2009Q4,B,0.05555555555555555,0.08602150537634409,0.1039426523297491,0.4874551971326165,558.0
2009Q4,C,0.07819905213270142,0.12559241706161137,0.16587677725118483,0.3767772511848341,422.0
2009Q4,D,0.07003891050583658,0.13229571984435798,0.17898832684824903,0.33852140077821014,257.0
2009Q4,E,0.13636363636363635,0.21212121212121213,0.25757575757575757,0.3333333333333333,66.0
2009Q4,F,0.04,0.16,0.2,0.32,25.0
2009Q4,G,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.3333333333333333,12.0
2010Q1,A,0.0069124423963133645,0.018433179723502304,0.03225806451612903,0.4838709677419355,434.0
2010Q1,B,0.029154518950437316,0.0597667638483965,0.08600583090379009,0.4620991253644315,686.0
2010Q1,C,0.05803571428571429,0.11383928571428571,0.140625,0.38169642857142855,448.0
2010Q1,D,0.06545454545454546,0.09818181818181818,0.12363636363636364,0.3927272727272727,275.0
2010Q1,E,0.08536585365853659,0.14634146341463414,0.1951219512195122,0.35365853658536583,82.0
2010Q1,F,0.09523809523809523,0.2857142857142857,0.3333333333333333,0.3333333333333333,21.0
2010Q1,G,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.14285714285714285,7.0
2010Q2,A,0.012987012987012988,0.02922077922077922,0.04383116883116883,0.48863636363636365,616.0
2010Q2,B,0.04114285714285714,0.07771428571428571,0.11085714285714286,0.4125714285714286,875.0
2010Q2,C,0.061514195583596214,0.10094637223974763,0.1309148264984227,0.4416403785488959,634.0
2010Q2,D,0.06698564593301436,0.15550239234449761,0.19617224880382775,0.37320574162679426,418.0
2010Q2,E,0.13793103448275862,0.1724137931034483,0.21839080459770116,0.39655172413793105,174.0
2010Q2,F,0.02127659574468085,0.19148936170212766,0.23404255319148937,0.425531914893617,47.0
2010Q2,G,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.4166666666666667,12.0
2010Q3,A,0.01291248206599713,0.03156384505021521,0.05021520803443329,0.5150645624103299,697.0
2010Q3,B,0.03654822335025381,0.0751269035532995,0.1065989847715736,0.47411167512690355,985.0
2010Q3,C,0.03361344537815126,0.07563025210084033,0.10504201680672269,0.47759103641456585,714.0
2010Q3,D,0.07272727272727272,0.12121212121212122,0.16767676767676767,0.4383838383838384,495.0
2010Q3,E,0.0636042402826855,0.14487632508833923,0.2049469964664311,0.4558303886925795,283.0
2010Q3,F,0.10843373493975904,0.20481927710843373,0.26506024096385544,0.4457831325301205,83.0
2010Q3,G,0.1111111111111111,0.18518518518518517,0.25925925925925924,0.5185185185185185,27.0
2010Q4,A,0.012333965844402278,0.031309297912713474,0.04554079696394687,0.49620493358633777,1054.0
2010Q4,B,0.03229061553985873,0.060544904137235116,0.09182643794147326,0.479313824419778,991.0
2010Q4,C,0.06296851574212893,0.12893553223388307,0.1619190404797601,0.43478260869565216,667.0
2010Q4,D,0.05647058823529412,0.12,0.14588235294117646,0.4776470588235294,425.0
2010Q4,E,0.06666666666666667,0.13725490196078433,0.16862745098039217,0.5098039215686274,255.0
2010Q4,F,0.06741573033707865,0.12359550561797752,0.20224719101123595,0.4943820224719101,89.0
2010Q4,G,0.09523809523809523,0.21428571428571427,0.2857142857142857,0.47619047619047616,42.0
2011Q1,A,0.024324324324324326,0.04144144144144144,0.05855855855855856,0.4828828828828829,1110.0
2011Q1,B,0.031144781144781145,0.06481481481481481,0.09511784511784512,0.4739057239057239,1188.0
2011Q1,C,0.05563480741797432,0.11412268188302425,0.14407988587731813,0.46504992867332384,701.0
2011Q1,D,0.04597701149425287,0.10727969348659004,0.16283524904214558,0.46551724137931033,522.0
2011Q1,E,0.07297297297297298,0.14864864864864866,0.1972972972972973,0.5081081081081081,370.0
2011Q1,F,0.06285714285714286,0.15428571428571428,0.19428571428571428,0.52,175.0
2011Q1,G,0.1,0.23333333333333334,0.25,0.5166666666666667,60.0
2011Q2,A,0.014411529223378704,0.03362690152121697,0.051240992794235385,0.455564451561249,1249.0
2011Q2,B,0.034505640345056404,0.0789648307896483,0.10948905109489052,0.4751161247511613,1507.0
2011Q2,C,0.06611570247933884,0.1353305785123967,0.1652892561983471,0.4628099173553719,968.0
2011Q2,D,0.07713884992987377,0.16129032258064516,0.19915848527349228,0.48106591865357645,713.0
2011Q2,E,0.08333333333333333,0.1550925925925926,0.2037037037037037,0.4930555555555556,432.0
2011Q2,F,0.09289617486338798,0.19672131147540983,0.2459016393442623,0.4808743169398907,183.0
2011Q2,G,0.06,0.2,0.22,0.7,50.0
2011Q3,A,0.0230722525804493,0.04918032786885246,0.0649666059502125,0.48816029143898,1647.0
2011Q3,B,0.034787410270568746,0.07288790723357261,0.10877967973495306,0.49033683048039756,1811.0
2011Q3,C,0.0626808100289296,0.12054001928640308,0.15814850530376084,0.4773384763741562,1037.0
2011Q3,D,0.07804232804232804,0.1574074074074074,0.1970899470899471,0.43783068783068785,756.0
2011Q3,E,0.09523809523809523,0.1761904761904762,0.20714285714285716,0.5380952380952381,420.0
2011Q3,F,0.13125,0.2125,0.28125,0.4875,160.0
2011Q3,G,0.13333333333333333,0.26666666666666666,0.3111111111111111,0.4,45.0
2011Q4,A,0.02288329519450801,0.057208237986270026,0.07265446224256293,0.4559496567505721,1748.0
2011Q4,B,0.04711024769305488,0.09033511413307431,0.1209324915007285,0.4560466245750364,2059.0
2011Q4,C,0.06553398058252427,0.11893203883495146,0.1553398058252427,0.4773462783171521,1236.0
2011Q4,D,0.07577639751552795,0.1565217391304348,0.21614906832298136,0.4509316770186335,805.0
2011Q4,E,0.07543520309477757,0.1895551257253385,0.2553191489361702,0.4932301740812379,517.0
2011Q4,F,0.1568627450980392,0.2696078431372549,0.3382352941176471,0.4264705882352941,204.0
2011Q4,G,0.08333333333333333,0.2916666666666667,0.3333333333333333,0.4166666666666667,48.0
2012Q1,A,0.028693790149892935,0.06038543897216274,0.07965738758029979,0.4633832976445396,2335.0
2012Q1,B,0.04836252856054836,0.10091393754760092,0.14051789794364053,0.43716679360243715,2626.0
2012Q1,C,0.05811623246492986,0.12558450233800936,0.1623246492985972,0.4455577822311289,1497.0
2012Q1,D,0.08467309753483387,0.1682743837084673,0.21757770632368703,0.45016077170418006,933.0
2012Q1,E,0.09381663113006397,0.2046908315565032,0.279317697228145,0.4626865671641791,469.0
2012Q1,F,0.1893491124260355,0.26627218934911245,0.38461538461538464,0.35502958579881655,169.0
2012Q1,G,0.10638297872340426,0.23404255319148937,0.3191489361702128,0.48936170212765956,47.0
2012Q2,A,0.02357320099255583,0.05252274607113317,0.07196029776674938,0.4611248966087676,2418.0
2012Q2,B,0.047740112994350284,0.10141242937853108,0.1327683615819209,0.44378531073446326,3540.0
2012Q2,C,0.07360861759425494,0.15529622980251345,0.19748653500897667,0.44299820466786355,2228.0
2012Q2,D,0.07837226827430294,0.17030896759608138,0.22230595327807084,0.4702336096458176,1327.0
2012Q2,E,0.10806451612903226,0.23709677419354838,0.3064516129032258,0.45806451612903226,620.0
2012Q2,F,0.07518796992481203,0.22180451127819548,0.2669172932330827,0.45864661654135336,266.0
2012Q2,G,0.125,0.2916666666666667,0.3958333333333333,0.375,48.0
2012Q3,A,0.02529182879377432,0.052204928664072635,0.0632295719844358,0.49546044098573283,3084.0
2012Q3,B,0.04513767863367027,0.09498082955733705,0.12600209132101778,0.4674102474729871,5738.0
2012Q3,C,0.07129251700680272,0.13959183673469389,0.18040816326530612,0.4549659863945578,3675.0
2012Q3,D,0.09347442680776014,0.18165784832451498,0.23324514991181658,0.44488536155202824,2268.0
2012Q3,E,0.08259911894273128,0.1949339207048458,0.2643171806167401,0.4790748898678414,908.0
2012Q3,F,0.09762532981530343,0.20052770448548812,0.29023746701846964,0.5065963060686016,379.0
2012Q3,G,0.16049382716049382,0.2716049382716049,0.345679012345679,0.4444444444444444,81.0
2012Q4,A,0.025456919060052218,0.04960835509138381,0.06951697127937337,0.4869451697127937,3064.0
2012Q4,B,0.040436165379373015,0.08632439800090867,0.11343328789943966,0.4696350143873997,6603.0
2012Q4,C,0.05541899441340782,0.11798882681564246,0.16089385474860335,0.4793296089385475,4475.0
2012Q4,D,0.0701252236135957,0.15277280858676207,0.19821109123434705,0.451520572450805,2795.0
2012Q4,E,0.07828282828282829,0.18013468013468015,0.2474747474747475,0.4957912457912458,1188.0
2012Q4,F,0.10179640718562874,0.20758483033932135,0.25149700598802394,0.5189620758483033,501.0
2012Q4,G,0.15294117647058825,0.27058823529411763,0.38823529411764707,0.43529411764705883,85.0
2013Q1,A,0.010612492419648272,0.03244390539721043,0.045178896300788356,0.5197089144936325,3298.0
2013Q1,B,0.030556924593395762,0.07220305569245934,0.09820108427796945,0.5165105963528832,8116.0
2013Q1,C,0.049328707195655457,0.12053100015085232,0.1627696485141047,0.5064112234122794,6629.0
2013Q1,D,0.08783783783783784,0.17804054054054055,0.22364864864864864,0.44966216216216215,2960.0
2013Q1,E,0.08521739130434783,0.18434782608695652,0.24434782608695652,0.46,1150.0
2013Q1,F,0.11468812877263582,0.24346076458752516,0.317907444668008,0.4688128772635815,497.0
2013Q1,G,0.23214285714285715,0.30357142857142855,0.42857142857142855,0.44642857142857145,56.0
2013Q2,A,0.011168618904930537,0.026968128575320077,0.03977117951511849,0.5211114137837102,3671.0
2013Q2,B,0.029499129365973573,0.07446481614257913,0.10304209771586602,0.5249411041688006,9763.0
2013Q2,C,0.050392972723069814,0.11604253351826167,0.16007859454461396,0.5150254276467868,8652.0
2013Q2,D,0.07625404530744337,0.16201456310679613,0.20449029126213591,0.47957119741100324,4944.0
2013Q2,E,0.08907788719785138,0.17994628469113697,0.238585496866607,0.4991047448522829,2234.0
2013Q2,F,0.12108382726502964,0.2531752751905165,0.3259949195596952,0.4623200677392041,1181.0
2013Q2,G,0.1210762331838565,0.2242152466367713,0.3183856502242152,0.4798206278026906,223.0
2013Q3,A,0.010168650793650794,0.028521825396825396,0.040426587301587304,0.5419146825396826,4032.0
2013Q3,B,0.02845100105374078,0.07141120207505877,0.09702520872173137,0.5230607116803112,12337.0
2013Q3,C,0.04879396059657522,0.11342294236788805,0.15024857300681274,0.5373780150985086,10862.0
